# Student number: r0776947
# Iteration, Elapsed time, Mean value, Best value, Cycle
12,      2.69, 122083.94, 100484.52,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,45,36,85,73,2,76,82,19,22,34,10,92,27,30,83,77,75,40,17,41,25,26,80,91,96,16,18,38,15,90,21,88,81,
13,      2.77, 120620.23, 100294.52,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,45,36,85,73,2,76,82,19,22,34,10,92,27,30,83,77,75,40,17,41,25,91,80,26,96,16,18,38,15,90,21,88,81,
14,      2.85, 118229.28, 100294.52,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,45,36,85,73,2,76,82,19,22,34,10,92,27,30,83,77,75,40,17,41,25,91,80,26,96,16,18,38,15,90,21,88,81,
15,      2.93, 114732.66, 100257.58,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,45,36,85,73,2,76,82,19,22,34,10,92,27,30,83,91,75,40,17,41,25,26,80,77,96,16,18,38,15,90,21,88,81,
16,      3.01, 110757.61, 100257.58,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,45,36,85,73,2,76,82,19,22,34,10,92,27,30,83,91,75,40,17,41,25,26,80,77,96,16,18,38,15,90,21,88,81,
17,      3.09, 107562.64, 100004.24,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,45,36,85,73,2,82,76,19,22,34,10,92,27,30,83,77,75,40,17,41,25,91,80,26,96,16,18,38,15,90,21,88,81,
18,      3.16, 104207.53, 100004.24,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,45,36,85,73,2,82,76,19,22,34,10,92,27,30,83,77,75,40,17,41,25,91,80,26,96,16,18,38,15,90,21,88,81,
19,      3.24, 102823.86, 100004.24,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,24,64,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,45,36,85,73,2,82,76,19,22,34,10,92,27,30,83,77,75,40,17,41,25,91,80,26,96,16,18,38,15,90,21,88,81,
20,      3.32, 101432.66,  99926.81,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,64,24,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,45,36,85,73,2,82,76,19,22,34,10,92,27,30,83,77,75,40,17,41,25,91,80,26,96,16,18,38,15,90,21,88,81,
21,      3.39, 101082.05,  99926.81,72,8,43,99,7,95,39,67,13,32,52,53,31,35,56,86,57,1,89,60,49,6,42,84,74,65,23,3,68,50,5,71,28,62,20,9,0,4,47,11,54,46,66,98,33,48,93,87,64,24,79,78,69,94,58,44,61,37,51,55,59,14,29,97,12,63,70,45,36,85,73,2,82,76,19,22,34,10,92,27,30,83,77,75,40,17,41,25,91,80,26,96,16,18,38,15,90,21,88,81,
